nr_crt,sucursala,departament,denumire_persoana_juridica,adresa_imobil,constructie_mp,teren_mp,tip_contract,modalitate_atribuire,data_inceput,data_incetare,pret_ron,pret_eur
75,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ANTHERME MANAGEMENT S.R.L.,P-TA PRESEI LIBERE NR.1,1271.87,,Închiriere,Licitație publică,2-Sep-2024,1-Sep-2029,,30855.57
76,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ANTHERME MANAGEMENT S.R.L.,P-TA PRESEI LIBERE NR.1,66.26,,Închiriere,Licitație publică/Folosinta spatiu fara titlu,6-Feb-2025,05.02.2026 Litigiu,,443.94
77,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ARES GROUP SRL,P-TA PRESEI LIBERE NR.1,29.02,,Închiriere și prestări servicii,Licitație publică,18-Oct-2024,17-Oct-2029,449.97,94.87
78,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. SYMBOL BUSINESS SOLUTIONS S.R.L.,P-TA PRESEI LIBERE NR.1,41.18,,Închiriere și prestări servicii,Licitație publică,20-Nov-2024,19-Nov-2026,72.89,132.60
79,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.EXPERTISIMO CONT SERVICES S.R.L.,P-TA PRESEI LIBERE NR.1,135.68,,Închiriere și prestări servicii,Licitație publică,26-Nov-2024,1-Dec-2026,4410.29,555.17
80,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. ANDREM STRATEGY SRL,P-TA PRESEI LIBERE NR.1,197.89,,Închiriere și prestări servicii,Licitație publică,11-Dec-2024,10-Dec-2026,3814.38,877.80
81,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. CREATIF ING CONSTRUCT S.R.L.,P-TA PRESEI LIBERE NR.1,34.66,,Închiriere și prestări servicii,Licitație publică,30-Apr-2026,23-Dec-2026,465.41,99.27
82,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. MARBLE HALL EVENTS S.R.L.,P-TA PRESEI LIBERE NR.1,990.00,,Închiriere și prestări servicii,Licitație publică,9-Apr-2026,15-Jan-2027,,7623.00
83,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. GRAMPET LOGISTIC S.R.L.,P-TA PRESEI LIBERE NR.1,35.12,,Închiriere și prestări servicii,Licitație publică,5-Feb-2025,31-Jul-2026,1089.72,143.71
84,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,BOOKU IMP S.R.L.,P-TA PRESEI LIBERE NR.1,1400.00,,Închiriere,Licitație publică,2-Dec-2025,2-Dec-2026,,9100.00
85,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. PREDETEANU & PARTNERS S.R.L,P-TA PRESEI LIBERE NR.1,93.87,,Închiriere și prestări servicii,Licitație publică,15-Jan-2026,14-Jan-2027,1722.07,692.16
86,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MATIO MIX S.R.L.,P-TA PRESEI LIBERE NR.1,20.47,,Închiriere și prestări servicii,Licitație publică,26-Feb-2026,2-Mar-2027,386.02,137.60
87,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,VID HOLDING SOLUTION SRL,P-TA PRESEI LIBERE NR.2,41.85,,Închiriere și prestări servicii,Licitație publică,25-Sep-2025,24-Sep-2026,74.01,292.95
88,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ARS MONITOR S.R.L.,P-TA PRESEI LIBERE NR.1,1.00,,Închiriere și prestări servicii,Licitație publică,12-Mar-2026,11-Mar-2027,1.77,36.45
89,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.MIDIA INTERNATIONAL S.A.,P-TA PRESEI LIBERE NR.1,80.00,,Închiriere și prestări servicii,Licitație publică,24-Feb-2026,23-Feb-2027,2466.93,426.97
90,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PIB GLOBAL CONSULTING S.R.L.,P-TA PRESEI LIBERE NR.1,33.38,,Închiriere și prestări servicii,Licitație publică,28-Apr-2026,27-Apr-2027,616.24,234.69
91,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MAIDAN THEATRE COMPANY S.R.L.,P-TA PRESEI LIBERE NR.1,64.01,,Închiriere și prestări servicii,Licitație publică,29-May-2026,28-May-2027,2231.46,204.82
92,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SOCIETATEA PENTRU SERVICII DE MENTENANTA A RETELEI ELECTRICE DE TRANSPORT ‘SMART ‘ – SA – FILIALA A CNTEE TRANSELECTRICA SA,P-TA PRESEI LIBERE NR.1,394.60,,Închiriere,Licitație publică,8-Jan-2026,8-Jan-2027,2893.19,3005.14
93,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL NATIONAL LIBERAL,ALEEA MODROGAN NR. 1 - Teren aferent constructiilor vandute,,20138.00,Închiriere,Atribuire directă,10-Feb-2021,9 Feb 2026 In procedura de incheiere contract de concesiune,,1006.90
94,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL NATIONAL LIBERAL- ORGANIZATIA BUCURESTI,ALEEA MODROGAN NR. 22 - Teren aferent constructiilor vandute,,561.56,Închiriere,Atribuire directă,9-Jul-2019,8-Jul-2026,,28.08
95,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL NATIONAL LIBERAL - FILIALA ILFOV,ALEEA MODROGAN NR. 3 - Teren aferent constructiilor vandute,,531.00,Închiriere,Atribuire directă,10-Feb-2021,9 Feb 2026 In procedura de incheiere contract de concesiune,,26.55
96,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CABINET AVOCAT BERCEA RAMONA- MADALINA,BD. NICOLAE BALCESCU 17- 19,59.42,,Închiriere și prestări servicii,Licitație publică,13-Jan-2022,12-Jan-2027,1548.16,412.70
97,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL SANATATII,BD. NICOLAE BALCESCU 17- 19,567.19,,Închiriere și prestări servicii,Atribuire directă,20-Jun-2022,20-Jun-2027,79509.83,
98,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,INSTITUTUL EUROPEAN DIN ROMANIA,B-DUL REGINA ELISABETA 7-9,1156.61,,Închiriere și prestări servicii,Atribuire directă,1-Jul-2021,28-Apr-2027,48298.48,
99,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,WORK AND TRAVEL CLUB SRL,B-DUL REGINA ELISABETA 7-9,28.64,,Închiriere și prestări servicii,Licitație publică,20-Apr-2023,19-Apr-2028,1283.47,183.06
100,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC GRANAT EVO SRL,B-DUL REGINA ELISABETA 7-9,22.42,,Închiriere și prestări servicii,Licitație publică,21-Mar-2022,20-Mar-2027,783.49,120.64
101,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,WORK AND TRAVEL CLUB SRL,B-DUL REGINA ELISABETA 7-9,33.06,,Închiriere,Licitație publică,5-Aug-2021,30-Sep-2026,1017.84,256.16
102,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC THE PUB CENTRAL SRL,B-DUL REGINA ELISABETA 7-9,7.46,,Închiriere și prestări servicii,Licitație publică,8-Dec-2022,3-Jan-2028,214.76,502.00
103,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CABINET DE AVOCAT BIRNEA LUMINITA-FLORICA,B-DUL REGINA ELISABETA 7-9,31.24,,Închiriere și prestări servicii,Licitație publică,1-Aug-2024,4-Aug-2029,758.16,247.19
104,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL SOCIAL DEMOCRAT,SOS. KISELEFF 10 - Teren aferent constructiilor vandute,,5392.37,Închiriere,Atribuire directă,17-Jan-2014,Pe toata perioada constructiei,,269.62
105,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL UMANIST SOCIAL LIBERAL (PUSL),KISELEFF Nr.57,786.96,2782.00,Închiriere,Atribuire directă,19-Jun-2025,18-Jun-2026,,5854.98
106,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA ELECTORALA PERMANENTA,STR. EUGENIU CARADA 1,1872.28,,Închiriere și prestări servicii,Atribuire directă,10-Feb-2016,31-Dec-2026,118553.19,
107,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC AYLIN TOUR INVESTMENT SRL,STR. EUGENIU CARADA 1,29.89,,Închiriere și prestări servicii,Licitație publică,11-Mar-2021,21-Mar-2027,287.47,1327.12
108,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ORANGE ROMANIA S.A.,STR. ION CAMPINEANU 20,20.00,,Închiriere și prestări servicii,Licitație publică,14-Mar-2022,13-Mar-2027,368.92,480.00
109,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. B1 TV CHANNEL S.R.L.,STR. ION CAMPINEANU 20,230.27,,Închiriere și prestări servicii,Licitație publică,29-Jun-2021,28-Jul-2026,1889.41,4144.86
110,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA PENTRU PLATI SI INSPECTIE SOCIALA A MUNICIPIULUI BUCURESTI,STR. ION CAMPINEANU 20,1784.46,,Închiriere și prestări servicii,Atribuire directă,19-Feb-2024,31-Dec-2026,93061.80,
111,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA IMPOTRIVA TRAFICULUI DE PERSOANE,STR. ION CAMPINEANU 20,901.65,,Închiriere și prestări servicii,Atribuire directă,14-Jul-2021,14-Jul-2031,45663.55,
112,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA NECUVINTE,STR. ION CAMPINEANU 20,76.07,,Închiriere și prestări servicii,Licitație publică,9-Jun-2022,8-Jun-2027,1754.58,406.97
113,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CABINET INDIVIDUAL DE AVOCAT RAMONA MARIA HROMEI/INSOLVENTA,STR. ION CAMPINEANU 20,35.11,,Închiriere și prestări servicii,Licitație publică,31-Jan-2022,16-Mar-2027,1053.45,190.44
114,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. B1 TV CHANNEL S.R.L.,STR. ION CAMPINEANU 20,257.73,,Închiriere și prestări servicii,Licitație publică,24-Oct-2025,23-Oct-2026,6145.78,2174.48
115,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC VETROPACK ROMANIA SRL,STR. ION CAMPINEANU 20,24.86,,Închiriere și prestări servicii,Licitație publică,10-Feb-2022,9-Feb-2027,1023.90,134.87
116,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONSILIUL LOCAL SECTOR 1,STR. ION CAMPINEANU 20,236.45,,Închiriere și prestări servicii,Atribuire directă,10-Dec-2021,15-Dec-2026,17278.68,
117,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. B1 TV CHANNEL S.R.L.,STR. ION CAMPINEANU 20,37.98,,Închiriere și prestări servicii,Licitație publică,31-Jan-2022,15-May-2027,1090.80,205.99
118,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. B1 TV CHANNEL S.R.L.,STR. ION CAMPINEANU 20,34.55,,Închiriere și prestări servicii,Licitație publică,11-May-2022,10-May-2027,992.36,145.77
119,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. B1 TV CHANNEL S.R.L.,STR. ION CAMPINEANU 20,136.33,,Închiriere și prestări servicii,Licitație publică,25-Jan-2024,6-May-2029,4055.70,934.57
120,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ADMINISTRATIA NATIONALA A REZERVELOR DE STAT SI PROBLEME SPECIALE,STR. ION CAMPINEANU 20,117.64,,Închiriere și prestări servicii,Atribuire directă,5-Apr-2023,31-May-2027,8538.76,
121,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C. B1 TV CHANNEL S.R.L.,STR. ION CAMPINEANU 20,84.10,,Închiriere și prestări servicii,Licitație publică,16-May-2024,6-Jul-2029,363.43,941.92
122,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL SOCIAL DEMOCRAT ORGANIZATIA JUDETEANA ILFOV,STR. NEGUSTORI 3 - - Teren aferent constructiilor vandute,,928.00,Închiriere,Atribuire directă,25-Oct-2004,Pe toata perioada constructiei,,46.40
123,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA ORCHESTRA SIMFONICA BUCURESTI,STR. ATENA NR. 11,144.37,,Închiriere,Licitație publică,17-Oct-2025,21-Oct-2026,,1365.74
124,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENŢIA ROMANA DE COOPERARE TEHNOLOGICA SI INDUSTRIALA PENTRU SECURITATE SI APARARE,STR. PICTOR ROMANO NR.19,521.90,,Închiriere și prestări servicii,Atribuire directă,18-May-2022,30-Oct-2026,58310.90,
125,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,UNIUNEA DEMOCRATA MAGHIARA DIN ROMANIA,Str. PETOFFI SANDOR 47,770.32,,Închiriere,Atribuire directă,16-Jun-2016,16-Nov-2026,,4329.19
126,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,INSTITUTIA PREFECTULUI JUDETULUI ILFOV,STR. SMARDAN NR. 3,266.88,,Închiriere și prestări servicii,Atribuire directă,8-Mar-2016,31-Dec-2026,33250.55,
127,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA PENTRU CETATENIE,STR. SMARDAN NR. 3,2024.99,,Închiriere și prestări servicii,Atribuire directă,12-Aug-2022,18-Jul-2027,58268.26,
128,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CONSILIUL NAȚIONAL DE SOLUTIONARE A CONTESTATIILOR,STR. STAVROPOLEOS NR.6,3597.68,,Închiriere și prestări servicii,Atribuire directă,23-Mar-2022,28-Feb-2027,130185.92,
129,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA ELECTORALA PERMANENTA,STR. STAVROPOLEOS NR.6,3043.72,,Închiriere și prestări servicii,Atribuire directă,31-Mar-2022,31-Dec-2026,104705.50,
130,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FONDUL ROMAN DE DEZVOLTARE SOCIALA,STR. STAVROPOLEOS NR.6,578.96,,Închiriere și prestări servicii,Atribuire directă,2-Jun-2022,31-Jul-2027,21082.64,3253.76
131,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA MACEDONENILOR DIN ROMANIA,STR. THOMAS MASARIK 29 - Teren aferent constructiilor vandute,,380.00,Concesiune,Atribuire directă,13-May-2021,Pe toata perioada constructiei,,763.05
132,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIRECTIA NATIONALA ANTICORUPTIE,STR. TRANSILVANIEI 2,2007.13,,Închiriere și prestări servicii,Atribuire directă,13-Dec-2023,28-Feb-2030,73580.99,
133,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL PRO ROMANIA,Str. Gina Patrichi nr. 10,545.93,,Închiriere,Atribuire directă,20-Aug-2019,31-Dec-2027,,3882.75
134,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA PENTRU ROMI,SPL. INDEPENDENTEI 202A,1002.36,,Închiriere și prestări servicii,Atribuire directă,10-Dec-2018,30-Nov-2026,49913.42,
135,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NAȚIONALĂ DE CADASTRU SI PUBLICITATE IMOBILIARA,SPL. INDEPENDENTEI 202A,6877.82,,Închiriere și prestări servicii,Atribuire directă,19-Dec-2018,31-Dec-2026,349175.92,
136,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,TELEKOM ROMANIA MOBILE COMMUNICATIONS S.A,SPL. INDEPENDENTEI 202A,35.00,,Închiriere și prestări servicii,Licitație publică,5-Jul-2023,4-Jul-2028,388.89,1008.00
137,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.VANTAGE TOWERS S.R.L.,SPL. INDEPENDENTEI 202A,94.50,,Închiriere și prestări servicii,Licitație publică,8-Oct-2021,7-Oct-2026,894.39,1653.75
138,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENȚIA NATIONALA DE ADMINISTRARE FISCALA ANAF,SPL. INDEPENDENTEI 202A,780.98,,Închiriere și prestări servicii,Atribuire directă,2-Jun-2022,31-Aug-2026,38448.26,
139,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIGI ROMANIA S.A.,SPL. INDEPENDENTEI 202A,6.00,,Închiriere și prestări servicii,Licitație publică,19-Jul-2023,18-Aug-2028,96.04,192.00
140,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,DIGI ROMANIA S.A.,SPL. INDEPENDENTEI 202A,9.00,,Închiriere și prestări servicii,Licitație publică,22-Jan-2025,21-Jan-2027,98.41,414.00
141,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,CENTRUL NATIONAL DE CULTURA A ROMILOR - ROMANO KHER,SPL. INDEPENDENTEI 202A,670.13,,Închiriere și prestări servicii,Atribuire directă,3-Dec-2024,31-Dec-2027,33368.18,
142,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC ORANGE ROMANIA SA,SPL. INDEPENDENTEI 202A,2.50,,Închiriere și prestări servicii,Licitație publică,19-Jul-2023,18-Jul-2028,26.83,80.00
143,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA DE MANAGEMENT AL CALITATII IN SANATATE,SPL. INDEPENDENTEI 202A,2183.02,,Închiriere și prestări servicii,Atribuire directă,12-Dec-2024,31-Dec-2026,110621.08,
144,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MINISTERUL FINANTELOR,SPL. INDEPENDENTEI 202A,221.22,,Închiriere și prestări servicii,Atribuire directă,7-Sep-2022,31-Oct-2026,10517.78,
145,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.IMPERIAL G.M.N.OPTIMAL.S.R.L.,SPL. INDEPENDENTEI 202A,16.67,,Închiriere și prestări servicii,Licitație publică,4-Jul-2024,3-Jul-2029,364.60,71.82
146,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,S.C.RONIN CAFFE S.R.L.,SPL. INDEPENDENTEI 202A,2.00,,Închiriere și prestări servicii,Licitație publică,15-Nov-2024,14-Nov-2026,26.40,100.00
147,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA PENTRU ADMINISTRAREA SISTEMULUI NATIONAL ANTIGRINDINA SI DE CRESTERE A PRECIPITATIILOR,B-DUL CAROL I 12,694.23,,Închiriere și prestări servicii,Atribuire directă,12-Oct-2015,30-Sep-2026,54783.99,
148,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ASOCIATIA CLUBUL SPORTIV DAN DACIAN,B-DUL CAROL I 12,44.65,,Închiriere și prestări servicii,Licitație publică,13-Jan-2022,12-Jan-2027,1158.23,248.85
149,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA DE PLATI - INTERVENTIE PT.AGRICULTURA,B-DUL CAROL I 12,300.51,,Închiriere și prestări servicii,Atribuire directă,6-Aug-2015,27-Aug-2030,21496.44,
150,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC AVMARG GROUP SRL,B-DUL CAROL I 12,31.57,,Închiriere și prestări servicii,Licitație publică,28-Jun-2024,27-Jun-2029,1174.34,183.27
151,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,"MINISTERUL MUNCII,FAMILIEI,TINERETULUI SI SOLIDARITATII SOCIALE",BD. GH.MAGHERU 7,195.70,,Închiriere și prestări servicii,Atribuire directă,27-Mar-2020,31-Mar-2027,5483.67,
152,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,"MINISTERUL MUNCII,FAMILIEI,TINERETULUI SI SOLIDARITATII SOCIALE",BD. GH.MAGHERU 7,121.57,,Închiriere și prestări servicii,Atribuire directă,"19,12,2024",31-Mar-2027,3262.26,
153,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,ADÎR FLORIN PERSOANA FIZICA AUTORIZATA,BD. GH.MAGHERU 7,263.48,,Închiriere,Licitație publică,23-Nov-2022,1-Dec-2027,1088.17,1765.32
154,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA NATIONALA PENTRU PLATI SI INSPECTIE SOCIALA,BD. GH.MAGHERU 7,1874.46,,Închiriere și prestări servicii,Atribuire directă,13-Oct-2023,31-Dec-2026,70740.22,
155,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AGENTIA JUDETEANA PENTRU PLATI SI INSPECTIE SOCIALA - ILFOV,"BD.GH.MAGHERU, NR.7",349.93,,Închiriere și prestări servicii,Atribuire directă,1-May-2025,31-Dec-2026,22752.85,
156,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,PARTIDUL SOCIAL DEMOCRAT - ORGANIZATIA PARTIDULUI SOCIAL DEMOCRAT SECTOR 1,"BD.GH.MAGHERU, NR.7",80.80,,Închiriere și prestări servicii,Atribuire directă,18-Sep-2024,1-Sep-2026,420.96,738.98
157,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,AUTORITATEA NATIONALA PENTRU DPROTECTIA DREPTURILOR COPILULUI SI ADOPTIE,"BD.GH.MAGHERU, NR.7",1223.66,,Închiriere și prestări servicii,Atribuire directă,26-Jun-2014,30-Jun-2028,54915.65,
158,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,MANOLE PETRE-FLORIN - CABINET PARLAMENTAR,"BD.GH.MAGHERU, NR.7",95.74,,Închiriere și prestări servicii,Atribuire directă,27-Oct-2025,26-Oct-2026,498.81,281.43
159,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,TUSA ADRIANA-DIANA - CABINET PARLAMENTAR,"BD.GH.MAGHERU, NR.7",33.51,,Închiriere și prestări servicii,Atribuire directă,27-Oct-2025,26-Oct-2026,174.59,193.69
160,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,STEREINU CERCEL ADRIAN- CABINET PARLAMENTAR,"BD.GH.MAGHERU, NR.7",49.59,,Închiriere și prestări servicii,Atribuire directă,03-nov-2025,02-nov2026,258.36,286.63
161,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,FURTUNA MIRELA- CABINET PARLAMENTAR,"BD.GH.MAGHERU, NR.7",32.48,,Închiriere și prestări servicii,Atribuire directă,04-nov-2025,03-nov2026,169.22,187.73
162,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,BIADES COM S.R.L.,STR.ION CAMPINEANU NR.3A,60.04,,Închiriere și prestări servicii,Licitație publică,8-Nov-2021,14-Nov-2026,505.63,1006.21
163,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BRIALDO DISTRIBUTION FOOS SRL,STR.ION CAMPINEANU NR.3A,60.57,,Închiriere și prestări servicii,Licitație publică,7-Oct-2021,7-Oct-2026,941.95,951.51
164,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC BRIALDO DISTRIBUTION FOOS SRL,STR.ION CAMPINEANU NR.3A,40.01,,Închiriere și prestări servicii,Licitație publică,7-Oct-2021,7-Oct-2026,618.45,314.27
165,SUCURSALA PENTRU ADMINISTRAREA ȘI ÎNTREȚINEREA FONDULUI IMOBILIAR,,SC SB GALLERY SRL,STR.ION CAMPINEANU NR.3A,59.91,,Închiriere și prestări servicii,Licitație publică,13-Sep-2022,12-Sep-2027,563.51,784.53
